candidate_id,wall_thickness_mm,edge_mm,gap_mm,radius_mm,count,opening_width_mm,required_edge_mm,required_gap_mm,packing_margin_mm,openness_ratio,robustness_margin,domain_class,governing_constraint,pareto_id,balanced_score
FD00798,40,80,150,12,4,750,50.0,100.0,2390.0,0.2727023008771953,0.3983333333333333,ROBUST_FEASIBLE,packing,PR005,0.6590496391216385
FD00799,40,80,150,12,4,900,50.0,100.0,1790.0,0.3272477554226499,0.29833333333333334,ROBUST_FEASIBLE,packing,PR004,0.6272139303482588
FD00795,40,80,150,12,2,900,50.0,100.0,3890.0,0.16362387771132494,0.40606060606060607,ROBUST_FEASIBLE,vertical,PR007,0.6000000000000001
FD00797,40,80,150,12,4,600,50.0,100.0,2990.0,0.2181568463317408,0.40606060606060607,ROBUST_FEASIBLE,vertical,PR006,0.5999898255069588
FD00711,40,80,120,12,6,750,50.0,100.0,740.0,0.40905345131579296,0.12333333333333334,INTERMEDIATE_FEASIBLE,packing,PR003,0.48815157311031854
FD00012,40,50,100,12,6,900,50.0,100.0,0.0,0.4908716331339748,0.0,BOUNDARY_FEASIBLE,edge,PR001,0.4666666666666667
FD00713,40,80,120,12,8,600,50.0,100.0,200.0,0.4363136926634816,0.03333333333333333,BOUNDARY_FEASIBLE,packing,PR002,0.3661488052427732
